Country,League,Season,round,Date,Time,Home,Away,HG,AG,HxG,AxG,HExpG+,AExpG+,Res,PSCH,PSCD,PSCA
Mexico,Liga MX,2023/2024,9,2023/09/25,03:05,Santos Laguna,Necaxa,2,5,3.2,1.4,2.66,3.02,A,1.45,5.18,6.77
Mexico,Liga MX,2023/2024,11,2023/09/27,02:05,Guadalajara,Mazatlan,1,3,0.5,1.5,0.725,2.175,A,1.46,4.79,7.26
Mexico,Liga MX,2023/2024,10,2023/09/29,03:00,Atlas,Puebla,2,3,1,1.5,1.45,2.175,A,1.56,4.31,6.25
Mexico,Liga MX,2023/2024,10,2023/09/30,02:00,Queretaro,Leon,1,1,1.3,1.1,1.165,1.055,D,3.34,3.52,2.25
Mexico,Liga MX,2023/2024,10,2023/09/30,04:10,Tijuana,FC Juarez,5,1,2.2,0.8,3.46,0.89,H,2.27,3.3,3.53
Mexico,Liga MX,2023/2024,10,2023/09/30,04:00,Atletico San Luis,Cruz Azul,1,2,1.9,1.2,1.495,1.56,A,2.48,3.6,2.88
Mexico,Liga MX,2023/2024,10,2023/10/01,02:06,Mazatlan,Tigres UANL,2,3,1.8,2,1.89,2.45,A,3.89,3.63,2.02
Mexico,Liga MX,2023/2024,10,2023/10/01,01:45,Club America,UNAM Pumas,1,0,1.9,0.6,1.495,0.33,H,1.76,4.07,4.63
Mexico,Liga MX,2023/2024,10,2023/10/01,00:00,Pachuca,Necaxa,1,1,1.9,1,1.495,1,D,1.75,3.94,4.92
Mexico,Liga MX,2023/2024,10,2023/10/02,00:20,Toluca,Guadalajara,1,1,1.7,0.7,1.385,0.835,D,2.17,3.61,3.44
Mexico,Liga MX,2023/2024,11,2023/10/04,02:00,Puebla,Monterrey,1,1,0.6,2.2,0.78,1.66,D,4.88,3.99,1.74
Mexico,Liga MX,2023/2024,11,2023/10/04,04:00,Club America,Pachuca,4,0,2.9,0.7,3.395,0.385,H,1.58,4.43,5.82
Mexico,Liga MX,2023/2024,11,2023/10/05,02:00,UNAM Pumas,Queretaro,4,0,1.9,0.2,2.845,0.11,H,1.83,3.81,4.5
Mexico,Liga MX,2023/2024,11,2023/10/05,02:00,Necaxa,Cruz Azul,1,3,1.3,2.2,1.165,2.56,A,3.47,3.57,2.17
Mexico,Liga MX,2023/2024,11,2023/10/05,04:00,Santos Laguna,Tijuana,2,1,2.1,2,2.055,1.55,H,1.68,4.33,4.93
Mexico,Liga MX,2023/2024,11,2023/10/05,04:00,Tigres UANL,Toluca,2,2,0.8,1.1,1.34,1.505,D,1.57,4.43,5.96
